iter	Passed	Remaining
416	2325	3251
417	2329	3244
418	2332	3234
419	2334	3223
420	2336	3213
421	2338	3203
422	2340	3193
423	2345	3185
424	2347	3175
425	2349	3165
426	2351	3155
427	2353	3145
428	2355	3135
429	2359	3128
430	2362	3118
431	2364	3108
432	2366	3098
433	2368	3089
434	2370	3079
435	2374	3071
436	2376	3062
437	2379	3052
438	2381	3043
439	2383	3034
440	2385	3024
441	2389	3016
442	2391	3007
443	2395	2999
444	2398	2991
445	2402	2983
446	2404	2975
447	2407	2966
448	2409	2956
449	2411	2947
450	2413	2938
451	2417	2931
452	2420	2922
453	2422	2913
454	2424	2904
455	2426	2895
456	2428	2885
457	2431	2877
458	2434	2869
459	2436	2860
460	2438	2851
461	2440	2842
462	2443	2833
463	2446	2825
464	2449	2818
465	2451	2809
466	2453	2800
467	2455	2791
468	2458	2783
469	2460	2774
470	2463	2767
471	2466	2758
472	2468	2750
473	2470	2741
474	2472	2732
475	2474	2723
476	2478	2717
477	2481	2709
478	2483	2701
479	2485	2692
480	2487	2684
481	2489	2675
482	2493	2669
483	2495	2660
484	2498	2652
485	2500	2644
486	2502	2636
487	2505	2628
488	2509	2622
489	2512	2614
490	2514	2606
491	2516	2598
492	2518	2589
493	2520	2581
494	2524	2575
495	2526	2567
496	2529	2559
497	2531	2551
498	2533	2543
499	2535	2535
500	2539	2529
501	2541	2521
502	2543	2513
503	2545	2505
504	2547	2497
505	2549	2489
506	2552	2481
507	2554	2474
508	2556	2466
509	2558	2458
510	2561	2450
511	2563	2442
512	2565	2435
513	2569	2429
514	2571	2421
515	2573	2413
516	2575	2406
517	2577	2398
518	2579	2390
519	2583	2384
520	2586	2377
521	2588	2370
522	2591	2363
523	2593	2356
524	2597	2350
525	2600	2343
526	2602	2335
527	2604	2328
528	2606	2320
529	2608	2313
530	2613	2308
531	2615	2300
532	2617	2293
533	2619	2286
534	2621	2278
535	2624	2271
536	2628	2265
537	2630	2258
538	2632	2251
539	2634	2244
540	2636	2236
541	2638	2229
542	2641	2223
543	2644	2217
544	2647	2209
545	2649	2202
546	2651	2195
547	2653	2188
548	2655	2181
549	2659	2175
550	2661	2168
551	2663	2161
552	2666	2155
553	2668	2148
554	2670	2141
555	2673	2135
556	2675	2128
557	2678	2121
558	2680	2114
559	2682	2107
560	2684	2100
561	2687	2094
562	2690	2088
563	2693	2082
